host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
474088296000000,9181,-0.855,-0.027,-0.517,-0.05,-0.06,-0.08
474088312000000,9201,-0.855,-0.025,-0.515,0.01,0.14,-0.02
474088343000000,9221,-0.859,-0.023,-0.517,-0.01,-0.08,-0.02
474088359000000,9241,-0.852,-0.022,-0.513,0.04,0.03,0.05
474088375000000,9261,-0.855,-0.025,-0.509,-0.03,0.11,0.08
474088390000000,9281,-0.857,-0.027,-0.517,-0.05,0.2,0.07
474088421000000,9301,-0.855,-0.025,-0.514,-0.06,-0.15,-0.08
474088437000000,9321,-0.855,-0.022,-0.518,0.02,-0.24,-0.15
474088453000000,9341,-0.855,-0.027,-0.519,0.05,0.04,0.07
474088484000000,9361,-0.853,-0.027,-0.514,-0.01,0.21,0.07
474088500000000,9381,-0.858,-0.022,-0.514,-0.02,-0.05,-0.02
474088515000000,9401,-0.852,-0.023,-0.514,0.08,-0.16,-0.08
474088531000000,9421,-0.861,-0.027,-0.517,-0.01,0.06,0.1
474088562000000,9441,-0.854,-0.023,-0.517,-0.02,0.06,0.05
474088578000000,9461,-0.852,-0.024,-0.514,-0.03,-0.02,-0.02
474088593000000,9481,-0.853,-0.026,-0.515,0.0,-0.08,-0.03
474088609000000,9501,-0.861,-0.023,-0.516,0.09,0.07,0.1
474088640000000,9521,-0.853,-0.027,-0.516,0.05,0.11,-0.01
474088656000000,9541,-0.855,-0.023,-0.515,-0.12,-0.17,-0.12
474088671000000,9561,-0.853,-0.025,-0.514,0.07,0.05,-0.03
474088703000000,9581,-0.857,-0.029,-0.519,-0.01,-0.09,0.03
474088718000000,9601,-0.856,-0.023,-0.52,-0.04,-0.02,-0.04
474088734000000,9621,-0.854,-0.023,-0.513,-0.01,-0.1,0.03
474088750000000,9641,-0.855,-0.029,-0.52,0.02,0.04,0.11
474088781000000,9661,-0.856,-0.026,-0.513,-0.07,0.04,0.06
474088796000000,9681,-0.854,-0.024,-0.512,-0.04,-0.21,-0.01
474088812000000,9701,-0.858,-0.026,-0.512,0.03,-0.14,-0.09
